,Transcription,Emotion
21995,"And the musicians, look, they can go over here , okay? And the chairs can face this way , and  You go.",neu
21996,"But-but, if you don't love this, we'll do it in any other place at any other time.",neu
21997,"Really, it's fine, whatever you want.",neu
21998,It's perfect.,hap
21999,"And, I don't know, if it starts to rain",hap
22000,Well then we'll get wet.,ang
22001,Ohh. And I don't even have a date.,sad
22002,Coming.,neu
22003,I have a bone to pick with you.,ang
22004,Uh-oh.,fea
22005,Yes! Ben learned a little trick.,ang
22006,Oh yeah? Did he pull the old,sur
22007,That's right! That's right!,hap
22008,Oh that.,neu
22009,Yeah that! You know I hate practical jokes! They're mean and they're stupid and-and I don't want my son learning them!,ang
22010,Y'know what? It doesn't matter! Because it is not true!,ang
22011,Okay.,neu
22012,"And if it were true, how",neu
22013,Ms. Monroe  Oh there you go.,neu
22014,Mark's a genius!,sur
22015,Why?! How?! How is he a genius?,sur
22016,"Look, don't you see what's happening here.",ang
22017,"Instead of hitting on her right away, he's becoming her confidant.",ang
22018,Now he's gonna be the guy she goes too to complain about you.,neu
22019,What am I going to do?,fea
22020,"Well, why don't you send her a musical bug, op, no you already did that.",neu
22021,"All right look, you're going to have to go there yourself now, okay, make a few surprise visits.",neu
22022,I don't know you guys.,fea
22023,"All right fine, don't do anything, just sit here and talk to us, meanwhile she is talking to him about you.",dis
22024,"And he's being Mr. Joe Sensitive, and she starts thinking 'Maybe this is the guy for me, because he understands me.'",dis
22025,"And before you know it, she's with him.",ang
22026,"And you'll be all, 'Ohh, man!'",ang
22027,"And he'll be all, 'Yes!'",ang
22028,"And us, we'll be like, 'Wh-whoa, dude.'",hap
22029,"And pretty soon you'll be like,  'Hhiii,' and, and, and, 'I can't go, Rachel and Mark might be there.'",dis
22030,"And we'll be like, 'Man get over it, it's been four years!!'",dis
22031,He paints quite a picture doesn't he?,neu
22032,"This is what I've got going for the party so far, liquor wise. Get a lot of liquor.",neu
22033,Great. Great.,neu
22034,"Okay, now uh, in terms of the invite list, I've got you, me, and Chandler and I'm gonna invite Gunther cause, well, we've been talking about this pretty loud.",neu
22035,I'll be there.,neu
22036,"Listen, I know this is your party, but I'd really like to the number of museum geeks that are gonna be there.",neu
22037,"Yeah. Tell ya what, let's not invite any of the anthropologists, only the dinosaur dudes!",neu
22038,Okay! We'll need a six-pack of,neu
22039,"Hey guys, what are you doing?",neu
22040,"Hey, y'know what, if you're gonna do that, if you're gonna name him Joey, you should name him Chandler.",neu
22041,"Oh, come on!",sad
22042,"Chandler's funny, sophisticated, and he's very loveable, once you get to know him.",neu
22043,"Oh well, hey, Joey's loveable too! But the thing about Joey is, if you need him, he'll be there.",neu
22044,"Well, Chandler will be there for you too.",neu
22045,"I mean, well, he might be a little late, but-but, he'll be there.",neu
22046,"And he'll bring you some cold soda, if want you need him for is that you're really hot.",neu
22047,What do ya say? What do ya say?,neu
22048,"Well, I, I like the idea of naming him after someone I love, and Joey and Chandler are great names.",neu
22049,"But, all right, I don'tmaybe I'll just name him The Hulk.",neu
22050,I knew I shouldn't have mentioned it! That's what I wanted to name my kid!,sad
22051,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",sad
22052,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,sur
22053,"Well, at least she had the chance to leave a man at the altar...",hap
22054,What's that supposed to mean?,sur
22055,Nothing! It's an expression.,neu
22056,No it's not.,neu
22057,Don't listen to your mother.,neu
22058,"You're independent, and you always have been!",neu
22059,"Even when you were a kid... and you were chubby, and you had no friends, you were just fine!",neu
22060,"And you would read alone in your room, and your puzzles...",neu
22061,PBS Telethon.,neu
22062,Hi Joey.,neu
22063,Hey Pheebs!,hap
22064,I,neu
22065,"$200? Are you sure Pheebs? I mean, after what",sur
22066,"Oh, I'm still mad at them but I also now that they bring happiness to lots of kids who's moms didn't kill themselves, so by supporting them, I'm doing a good thing, but I'm not",ang
22067,What kind of problem?,sur
22068,"Well to tell you the truth, they uh,  they had a problem with the bag!",sad
22069,Oh my God!,sur
22070,Y'know what? It was a stupid play anyway!,sad
22071,"Y'know, Joey, I think it's time to give up the bag.",sad
22072,I don't wanna give up the bag.,sad
22073,I don't have to give up the bag!,ang
22074,Do I Rach?,sad
22075,"Oh, you think I should give up the bag!",ang
22076,"Honey wait, Joey, I'm sorry I mean as terrific as I think you are with it",neu
22077,I just don't know if the world is ready for you and your bag.,sad
22078,I can't believe I'm hearing this!,sad
22079,Wait a minute!,sad
22080,Wait a minute!,ang
22081,"I'm not saying that you shouldn't have a bag, I justit's just there are other bags that are a little less umm,  controversial.",neu
22082,"Yeah umm, they're called wallets.",neu
22083,I think you'll find this room more to your liking.,neu
22084,"Okay, great.",hap
22085,They say he's only got half a tank left.,neu
22086,Half a tank? We still got a lot of high-speed chasing to do!,sur
22087,We're switching rooms again.,ang
22088,What? Why?,sur
22089,"This is a garden view room, and we paid for an ocean view room.",ang
22090,Our last ocean view room was unacceptable to you.,hap
22091,"Excuse me, umm, can I talk to you over here for just a second?",ang
22092,Uh-huh.,neu
22093,Chandler!,neu
22094,Are you kidding me?! Joey. Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey!!,ang
22095,Joey. Joey. Joey. Joey! Joey!!,ang
22096,"Oh. Oh, did-did-did I wake you?",sur
22097,Hey!,hap
22098,"Hey! Oh, I was just about to leave. I-I-I-I didn't think you were coming.",sur
22099,"Oh, I wouldn't miss this.",hap
22100,"Well, I'm very glad you're here.",hap
22101,"Oh, you're such a gentleman.  Come on! We're going to my place!",hap
22102,Hey!,hap
22103,Hey-hey.,neu
22104,So are guys doing okay?,neu
22105,"Yeah, we talked and Monica made me see that I over reacted a little bit and some things in life are more important.",neu
22106,Do you have a minute?,neu
22107,"Well yeah, sure, what's up?",neu
22108,I got asked out twice today when I was at lunchby guys.,neu
22109,Oh really?!,sur
22110,Yeah. Did you tell someone that I was gay?,neu
22111,"Oh, did you not want people to know that?",hap
22112,But I'm not gay. And I especially wouldn't want you to think I was gay.,hap
22113,Why's that?,neu
22114,I don't think I should say.,neu
22115,"Ohh, you can say. Come on, I don't want you to feel like you can't tell me things.",neu
22116,Okay.,neu
22117,Kay.,neu
22118,Well,neu
22119,Yeah.,neu
22120,I'd love to ask out your friend Phoebe.,neu
22121,"Yeah, she's gay.",neu
22122,Here you go.,neu
22123,"Great! All right, so I'll call you later.",hap
22124,Great!,hap
22125,Hey-Hey-Hey! Who was that?,sur
22126,That would be Casey. We're going out tonight.,neu
22127,"Goin' out, huh? Wow! Wow!  So things didn't work out with Kathy, huh? Bummer.",sur
22128,"No, things are fine with Kathy. I'm having a late dinner with her tonight, right after my early dinner with Casey.",neu
22129,What?,sur
22130,Yeah-yeah. And the craziest thing is that I just ate a whole pizza by myself!,ang
22131,Wait! You're going out with Kathy!,sur
22132,Yeah. Why are you getting so upset?,sur
22133,"Well, I'm upsetfor you. I mean, having sex with an endless line of beautiful women must be very unfulfilling for you.",dis
22134,What is the big deal? It's not like we're exclusive.,sad
22135,"Look, Joey, Kathy is clearly not fulfilling your emotional needs.",ang
22136,"But Casey, I mean granted I only saw the back of her head, but I got this sense that she's-she's smart, and funny, and gets you.",neu
22137,You got all that from the back of her head?,sur
22138,"All right look, I think it's time for you to settle down. Y'know? Make a choice, pick a lane.",neu
22139,Who's Elaine?,neu
22140,Can you people not see me?!,hap
22141,"So, will you talk to him?",neu
22142,I don't know Rach.,neu
22143,"Oh, come on! I'll give you ten free",ang
22144,One!  No ten! You said ten! You can't take that back!,ang
22145,Hey!,hap
22146,Hi!,hap
22147,"Listen, can we watch cartoons on your television?",neu
22148,We need a porn break.,neu
22149,"We spent the last two hours watching In & Out & In, Again.",neu
22150,"Well, so, why don't you just turn it off?",hap
22151,Because then we would be the guys who turned off free porn.,neu
22152,"Ooh, good, you're hear! Okay.",hap
22153,Hey!,hap
22154,Hi!,hap
22155,"Well, what-what cha got there?",hap
22156,"Oh this, well I'm glad you asked.",hap
22157,"Now, don't you hate it when you have to cut a tin can with an ordinary steak knife?",dis
22158,Ahh!,neu
22159,"Now, I know what you're thinking",neu
22160,Pregnant Woman Slays Four?,fea
22161,"Phoebe, they didn't make you pay for those knives, did they?",sur
22162,No!,hap
22163,"Honey, you're not gonna make enough money to help Frank and Alice just by selling knives.",neu
22164,"No-no, I know that, but I just have to make enough money for the second part of my plan.",neu
22165,What's the second part of your plan?,neu
22166,Yes that's right.,neu
22167,Why?,sur
22168,"I tired attacking two women, did not work.",neu
22169,What?!,sur
22170,"No, I mean it's okay, I mean, they're-they're my friends.",neu
22171,"In fact, I-I-I was married to one of them.",ang
22172,"Let me get this straight man, you attacked your ex-wife?!",ang
22173,"Oh, no!",sur
22174,No-no!,sur
22175,"No, I tired!",sur
22176,But I couldn't.,neu
22177,That's why I'm here.,ang
22178,Maybe we could attack them together?,neu
22179,That-that's a no.,neu
22180,"What? No! No, I'm not stopping. I'm Red Ross!",sad
22181,"Dude, if you go back out there, you're gonna be Dead Ross!",ang
22182,I don't care! I am not quitting! I insist on finishing this game!,ang
22183,"All right, all right, if you insist on doing this, at least let me help you.",ang
22184,"No, God no! That is no place for a woman. Those guys will grab anything.",neu
22185,No. That's not what I'm saying. I just may know a few things that might help you inflict some pain.,neu
22186,I like that.,hap
22187,"Yeah? Listen closely, Devon has got a weak ankle.",neu
22188,Huh?,neu
22189,One swift kick and he'll back off.,neu
22190,"All right, bad ankle, got it!",neu
22191,"And that big bloke with the beard, he has got a trick hip.",neu
22192,Yeah.,neu
22193,"And uh, and David over there, I heard he doesn't wear a cup.",neu
22194,"Yeah? I can use that, trick hip, no cup, okay! Okay!",hap
22195,"And uh, Liam, Liam's got bad knees. You hit him right and he'll go down like a lamp.",neu
22196,"But-but, Liam's on my team.",hap
22197,I don't care! You just get him!,ang
22198,"I'm gonna go get him! Okay, I am going back in!",hap
22199,The Red Ross! Okay.,hap
22200,Oh!  Oh by the way?,neu
22201,Uh-hmm.,neu
22202,James Brolin?,neu
22203,"Oh, I know. I could only think of two names, him and Ed Begley Jr. and then I remembered he's gay.",neu
22204,Ed Begley Jr. is not gay.,neu
22205,Really?!,sur
22206,Hello?,neu
22207,"Hello, is Ross there?",neu
22208,"Uh no, he's not. Can I take a message?",neu
22209,"Yes, this Russell, Ross's divorce lawyer, just tell him that since I haven't heard from him, I assume he's decided to give the marriage a try.",neu
22210,Ross got married againNooooooo!!!!!!!!!,sur
22211,"Oh-oh! Okay, she's kicking!",hap
22212,Oh!  She's growing inside you.,neu
22213,Whoa!!,sur
22214,Oh!,sur
22215,Wow that was a big one.,sur
22216,I think that's the youngest girl ever to reject me.,hap
22217,Oh hey you guys!,hap
22218,"Sure, I can hang out til I have to meet ya.  What uhHow come you're not going?",neu
22219,I have a job interview I have to get ready for.,neu
22220,I thought you already have a job.,neu
22221,And people say you don't pay attention.,neu
22222,"No, this is a much better job.",neu
22223,It's vice-president of a company that does data reconfiguration and statistical factoring for other companies.,neu
22224,Wow! How do you know how to do that?!,sur
22225,That's what I do now.,neu
22226,"Hey Joey, come taste this.",neu
22227,What is it?,neu
22228,Remember that guy that gave me a bad review? Well  I'm getting my revenge!,ang
22229,You cooked him?,sur
22230,No.,neu
22231,"He teaches a course on food criticism at the New School, so before we go to the movies I wanna go by there and make him try my bouillabaisse again.",neu
22232,"Oh, I cannot wait to read the front page of the Post tomorrow!",hap
22233,"""Restaurant reviewer admits: I was wrong about Monica.""",hap
22234,"The front page? You really do live in your own little world, don't ya?",sad
22235,"So, did you uh, find anyone to marry you guys yet?",neu
22236,"No, but Horny for Monica Minister called, wanting to know if we were still together.",dis
22237,We're never gonna find anybody.,sad
22238,Well then let me do it!,hap
22239,Joe,hap
22240,No-no-no!,neu
22241,"Look, I've been thinking about it.",neu
22242,I'm an actor right?,neu
22243,So I won't get nervous talking in front of people.,neu
22244,"I won't spit, and I won't stare at Monica's breasts!",ang
22245,Everyone knows I'm an ass man!,hap
22246,That is true.,neu
22247,"Yeah and the most important thing is that it won't be some like, stranger up there who barely knows you.",hap
22248,It'll be me!,hap
22249,And I swear I'll do a really good job.,hap
22250,"Plus, y'know I love you guys and-and it would really mean a lot to me.",hap
22251,It might be kinda cool.,hap
22252,So I can do it?,hap
22253,Ah-ha! Too cocky!,hap
22254,I still can't believe they took away my key. You trust me with yours.,fea
22255,Of course I do! And I'm gonna give it back to you as soon as they're done with it at the key shining place.,neu
22256,What the hell is that?,ang
22257,"Whoa! Whoa! Whoa! Treeger, what are you doing?",sur
22258,You said there was a gas leak in here.,neu
22259,Well why don't you use your key?,neu
22260,"Because by the time I find it on this thing , the whole place might have exploded.",neu
22261,"If that happens at another building that I manage, people are gonna start asking questions.",neu
22262,Come on!,ang
22263,Hurry up.,sad
22264,Oh! We could have done that.,neu
22265,"Luckily, the guy she settled for can't hear what you're talking about.",neu
22266,"Oh, I'm so sorry.",sad
22267,"Um, and maybe I'm wrong!",sad
22268,"I buty'know I'm gonna go out with him again, I'll find out more.",neu
22269,You believe that this guy is destined for someone else and you're still gonna date him?,sur
22270,"Well, he may not be my soul mate, but a girl's gotta eat.",neu
22271,"Oh, but it's made her so happy.",ang
22272,Little girl misses her cat.,neu
22273,Crazy lady thinks her mother is in a cat.,sad
22274,"Okay, y'know what, I have to go have dinner with my son, can I trust that when you see Phoebe, you will tell her.",neu
22275,Yeah.,neu
22276,Thank you.,neu
22277,I,neu
22278,"He is right, isn't he?",hap
22279,"Y'know what, I think this might be one of the times he's wrong.",neu
22280,You think?,sur
22281,"Oh-no, he's right.",neu
22282,Seven hundred bucks!,hap
22283,"Alright, you did it! Do we have any fruit?",hap
22284,"Man, hell of a two weeks, huh? Y'know what, though? I really feel like I learned something.",hap
22285,"Really? So, you're gonna stick with this 'it's all for her' thing?",neu
22286,"What, are you crazy? When a blind man gets his sight back, does he walk around like this?",dis
22287,Oh.,neu
22288,Y'know those are a delicacy in India.,neu
22289,Me too.,neu
22290,"Although this city is my home, so.",neu
22291,"So that's dumb what I said, don't tell him I said that.",neu
22292,"Umm, you make something up.",neu
22293,"Nice,  thank you.",hap
22294,This is me.,neu
22295,Here.,neu
22296,Your eyes are very pretty.,hap
22297,"Thank you, very much! Oh!  Thank you!",hap
22298,He would like to kiss you.,neu
22299,"Okay, y'know what, you don't have to do that now.",neu
22300,No-no-no-no!!,hap
22301,"Not him, you don't!",sur
22302,Well the moment's over.,neu
22303,Oh.,neu
22304,Oy!,neu
22305,"Hey! Hold on a minute, hold on a second. Do you think these pearls are nice?",ang
22306,I'd really prefer a mountain bike.,neu
22307,"Janice's birthday is coming up, I want to get her something speacial. Come in here with me.",neu
22308,"Whoa, whoa, whoa, wait, whoa.",sur
22309,"Do you ah, want to get her something speacial, get her flowers, get her candy, get her gum, girls love gum.",ang
22310,"That's a good idea, Dear Janice have a Hubba-Bubba birthday'. I would like to get her something serious.",dis
22311,"Oh, you want something serious.",neu
22312,"Y'know what you should do, you should get her one of those um, barium enemas.",neu
22313,Those are dead serious.,neu
22314,"All right. Look, I'm gonna go in here, and you don't buy me anything ever.",ang
22315,"No, no, you can't, you can't, okay, you can't, you can't buy her pearls, you just can't, you can't, you can't.",fea
22316,Why not?!,sur
22317,"Oh God. Uh, okay, here's the thing, this is the thing, okay, the thing is...",neu
22318,What is the thing?,sad
22319,"Okay. I went down to the Mattress King' showroom and, and I saw Janice, kissing her ex-husband.",sad
22320,What?,sur
22321,They were in his office.,neu
22322,"Well she, she wouldn't do that, she's with, she's with me.",sad
22323,I'm telling you it's like watching Bambi learn how to walk.,ang
22324,You're drunk! Mom and dad are gonna be maaaaadd! Maybe I'm a little drunk.,sur
22325,Hey! Are those crab cakes?  Did I not tell ya to come straight to me when more crab cakes were ready?,hap
22326,How are you feeling?,neu
22327,You are,neu
22328,I really wish that you wouldn't.,ang
22329,"Now all you have to do is just get through a little bit more, okay?",neu
22330,"Then we can put you in bed, okay?",neu
22331,Just smile and don't talk to,neu
22332,Speech! Speech! Let's hear from the birthday girl! Huh?,hap
22333,Pheebs!!,hap
22334,Don't you see? Everyone's looking at me! The plan's working! I didn't even have to take off my top yet!,hap
22335,Speech! Come on Monica!,hap
22336,Come on!,hap
22337,Come on! Speech!,hap
22338,"Hey Chandler, you can't keep your hands off her for one second!",ang
22339,"Oh-ho, I think it's nice.",hap
22340,Well you have to because maybe it's stupid.,neu
22341,Well it's just while Monica and I were dancing to them it wasthe first time I knew thatyou were the woman I wanted to dance all my dances with.,hap
22342,Oh crap!,ang
22343,All right.,neu
22344,The super couldn't figure out what it did.,neu
22345,A $200 an hour electrician couldn't figure out what it did.,sad
22346,I've had seven pretty serious shocks.,sad
22347,I officially give up.,dis
22348,Thank God.,hap
22349,"I guess Joey was right, it does nothing.",hap
22350,See? I'm doing it. I am totally doing it.  I lost it.,ang
22351,Are there no conscious men in the city for you two?,sad
22352,He doesn't have anyone.,neu
22353,"Yeah, we-we feel kinda responsible.",ang
22354,I can't believe you said woowoo. I don't even say woowoo.,dis
22355,"Oh, she's coming up! She's coming up!",hap
22356,"Folks, when we come back we'll be talking about her new book, 'Euphoria Unbound': the always interesting Nora Tyler Bing.",neu
22357,You might wanna put the kids to bed for this one.,neu
22358,"Y'know, we don't have to watch this.",neu
22359,"No way, forget it.",hap
22360,"C'mon, she's your mom!",ang
22361,Exactly.,neu
22362,"Chandler, I gotta tell you, I love your mom's books!",hap
22363,I love her books!,hap
22364,I cannot get on a plane without one!,hap
22365,"I mean, this is so cool!",hap
22366,"Yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'Mistress Bitch.'",dis
22367,"C'mon, Chandler, I love your mom. I think she's a blast.",hap
22368,Thank you.,neu
22369,And a nice hot cider for Monica.,neu
22370,"Aww, thank you.  Uh Rach?",neu
22371,Yeah?,neu
22372,Why does my cinamon stick have an eraser?,sur
22373,Oh! That's why.  I'm sorry!,sur
22374,"Oh. Oh! Ma'am? Excuse me, ma'am?",neu
22375,You can't put your cigarette out on a tree!,ang
22376,"Yeah I can, it worked real well.",neu
22377,No but you shouldn't! Don't ever do that again.,ang
22378,I won't!  Until I have my next cigarette.,ang
22379,Hold it!  N.Y.P.D! Freeze punk!,ang
22380,What?!,sur
22381,Yeah that's right you are so busted.  Book 'em.,ang
22382,Who are you talking too?,sur
22383,"Save it Red! Unless you wanna spend the night in the slammer, you apologize to the tree.",dis
22384,I am,neu
22385,You apologize to the tree right now or I am calling for backup.   Backup! Backup!!,ang
22386,I-I'm sorry! Sorry.,fea
22387,"Okay, cancel backup! Cancel backup!",neu
22388,Shh! Get me out of here.,fea
22389,Oh.,neu
22390,Ross!,sur
22391,What?,neu
22392,"Come here, check this out!",sur
22393,What? Is it the comet?,neu
22394,"No! No-no. Look, there's a bug stuck in tar right here.",sur
22395,"Joey comeI can't believeI bring you here to see the Bapstein-King comet, one of nature's most spectacular phenomenon, and all you care about are bugs stuck in tar and-and some woman!",ang
22396,"Y'know, there's",neu
22397,Show me where?,neu
22398,Right-right up here.,neu
22399,Joey where's the pipe that was holding the door open?,neu
22400,"I don't know!   Yeah, I do.",hap
22401,Joey!,ang
22402,What?! All rightHey! Don't look at me! You're the one who wanted to come up and look for some stupid,ang
22403,"It's called the Bapstein-King comet, okay?  Hey! Hey! Bapstein was a very well respected astronomer!",ang
22404,Oh no! No! No!,sur
22405,Wow! This place is incredible!  Sting's penthat he gave to Phoebe.  Come on! Secret passageway!,hap
22406,Hi!,neu
22407,Hi!,neu
22408,I'm Trudie.,neu
22409,Uh-huh.,neu
22410,You must be Ben's mum.,neu
22411,Why else would I be here?,neu
22412,Do sit down.,neu
22413,Yeah.,neu
22414,Hi.. how was the game?,neu
22415,Well..,neu
22416,WE WON!! Thank you! Yes!,hap
22417,Fantastic! I have one question: How is that possible?,sur
22418,Alan.,neu
22419,He was unbelievable.,hap
22420,"He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",hap
22421,"I mean, it-it was like, it was like he made us into a team.",hap
22422,"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",hap
22423,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,neu
22424,What?,sur
22425,"..I dunno, a little too Alan?",neu
22426,"Well, no. That's impossible. You can never be too Alan.",hap
22427,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",hap
22428,I personally could have a gallon of Alan.,hap
22429,"Well I had a great time! Learned how to bake, ate great food, that's the first A I've gotten since seventh grade,",hap
22430,"Oh, look! Acting for Beginners! Want to feel good about yourself?",fea
22431,What the hell!,sur
22432,Okay.,neu
22433,"All right, let's start with some basics. Can anybody tell me what the difference between upstage and downstage is?",neu
22434,"Yeah, this was a stupid idea.",dis
22435,My God!,sur
22436,These pants are burning up!,sur
22437,"Oh come on, she wants to snuggle now!",sur
22438,What is she trying to kill me?,ang
22439,It's like a volcano in here!,sur
22440,Are you hot?,neu
22441,"Okay, it must just be me then.",neu
22442,"That was just the pants on the couch. Umm, hey, do you, do you mind if I use your bathroom?",neu
22443,You're driving me crazy with that!,ang
22444,"Okay, I'll stop.",neu
22445,Don't stop! Move the bowl further away! Ross could make that shot!,ang
22446,"Well, you suck! But at least you suck at a man's game now.",ang
22447,You wanna play?,neu
22448,"Chandler, I can't be playing games, Ross is gonna be home soon.",neu
22449,And I have to write five whole pages if I'm gonna stick to his schedule.,neu
22450,"Well, so, play for the next 30 minutes and then write until he gets home.",neu
22451,"All right! But uh, listen, what do you say we crank it up a notch?",hap
22452,I'm intrigued.,neu
22453,"All right, all we need is a little lighter fluid.",neu
22454,"Okay, but be careful okay, because I wanna get our security deposit back.",hap
22455,"Yeah, I think we said good-bye to that when we invented hammer darts.",hap
22456,Do you even remember which part of the wall is not spackle?,neu
22457,"Uh yeah, right here.",neu
22458,"Hey, Rach. How was it with your friends?  Okay! How would you like some Tiki Death Punch?",hap
22459,What's that?,neu
22460,"Weeeell, it's rum, and-",neu
22461,I'm sure they'll be here soon.,neu
22462,"Yeah, honey, they wouldn't miss this.",neu
22463,Relax. You're only at nine centimeters. And the baby's at zero station.,neu
22464,You are really frightening me.,fea
22465,"Somebody wanna help me, tryin' to rip out my heart.  Uh, that's great.  Anybody seen a nipple?",fea
22466,"All right, ten centimeters, here we go.",neu
22467,"All right, honey, time to start pushing.",neu
22468,But they're not here yet!,fea
22469,"I'm sorry, I can't tell the baby to wait for them.",neu
22470,"Oh, god.",fea
22471,"Here we go. Mona umm, I think it's time we-we had a conversation about-about where things are with us.",hap
22472,"Yeah, I-I think I suggested that.",neu
22473,"Aw, we-we are so So umm, well I-I-I like you and I-I love umm, y'know hanging out with you.",hap
22474,And I mean-I'm having a lot of fun.,hap
22475,Okay.,neu
22476,"I mean, there's no point in spending time with someone if-if it's just fun.",neu
22477,"It's gotta be, it's gotta be going somewhere right?",hap
22478,So where-where is it going?,neu
22479,Ah!,sur
22480,That's-that's the real question.,neu
22481,And-and the answer isis it's going somewherefun.,hap
22482,"Now I-I know what you're thinking, fun was fine for you like ten years ago y'know, but you're-you're not getting any younger.",neu
22483,"No I meanNo not you, not you, youyou",fea
22484,"I'm sorry, so umm, so where are we?",sad
22485,Y'know what?,neu
22486,I am going to take you out to dinner tonight.,hap
22487,I found this place that makes the greatest mozzarella sticks and jalepino poppers .,hap
22488,No?,ang
22489,Really?,sur
22490,They taste so good.,hap
22491,Drum roll.,neu
22492,"Okay. Okay. All right. Help! Am I a Mark, or a John?",neu
22493,"Nah, you're not tall enough to be a Mark, but you might make a good Barney.",neu
22494,"All right look, am I serious, okay? Tomorrow at 3:30 I am going down to the courthouse.",neu
22495,You're actually going through with this?,sur
22496,"Hey, look, this name has been holding me back my entire life.",ang
22497,"Okay, it's probably why kids picked on me in school, and why I never do well with women So, as of 4 o'clock tomorrow, I'm either gonna be Mark Johnson or John Markson.",neu
22498,You got problems because of you!,ang
22499,Not your name!,sad
22500,"All right, this has got to stop!",ang
22501,Chandler is a great name!,ang
22502,"In factyes,  I'm, I'm sorry.",sad
22503,"I know you really wanted me to name the baby Joey, but eh, so, I'm-I'm, I'm gonna, I'm gonna name the baby Chandler.",neu
22504,Damn! I thought that was going to be romantic as hell!,sur
22505,It was.,neu
22506,"Look, I just saw my best friends brains smeared across the canvas, that's not gonna be me, not me.",sad
22507,Wow! That was good. That was... Tweezers?,sur
22508,No.,neu
22509,Whoa. That was really good.,sur
22510,"Thanks, any suggestions?",neu
22511,You-youyou had sex with Ursula?!,sur
22512,"Uh, a little bit. She-she-she walked in and I thought she was you and I kissed her and",fea
22513,You didn't notice she was wearing different clothes?!,sur
22514,Well I was just so excited to see you.,sad
22515,Oh. Ew! Ew! Ew! Ugh! Y'know what? This is too weird.,dis
22516,No-no it's not!,sad
22517,I don't want to lose you!,fea
22518,It's-it's like I was saying to Ursula when I was making love to her and I thought she was youYeah it is too weird.,sad
22519,So I guess this is it.,sad
22520,Yeah.  Maybe it's for the best. You smell just like her.,sad
22521,"Yeah, so do you.",ang
22522,Hey!,hap
22523,Hi.,neu
22524,"So, did shopping make you feel any better about Ross?",neu
22525,Manhattan does not have enough stores.,sad
22526,"Well,",neu
22527,You can?,sur
22528,Yeah. I just need you to bring me some photos of Ross.,neu
22529,Um-hmm.,neu
22530,And a small piece of chocolate.,neu
22531,Okay.,neu
22532,"Okay, we have to talk. I'm just getting out of a very serious relationship",sad
22533,"I know! And I'm just getting out of a marriage, I mean talk about meant to be!",fea
22534,Right! I just think that this is happening too soon.,hap
22535,"Oh, too soon, too schmoon. Face it honey, I am not letting you get away this time.",sad
22536,"I hear ya.  But! Unfortunately, my company is transferring me overseas!",dis
22537,Oh no! Where to?  Too Paris?,sur
22538,"No! No! Not, Paris.",neu
22539,"Too London? No-no, Rome? Vienna? Ooh-ooh, Barcelona?",hap
22540,"Okay, could you just stop talking for a second?  Yemen. That's right, yes, I'm being transferred to Yemen!",ang
22541,When?,ang
22542,I don't know exactly.,neu
22543,"Ugh, well I will just have to soak up every once of Chandler Bing until that moment comes.",sad
22544,But I do know that it's some time tomorrow.,hap
22545,"Ooh, this is it!  Oh, that's him! That's him!",hap
22546,Great! Go get him.,hap
22547,"Wait a second, or maybe you can go in first.",neu
22548,He's not really my type.,neu
22549,"No not you, Dr. Drake Remoray. You can ask him questions and see what's he like. People tell doctors everything.",neu
22550,"But lately all the guys I meet seem really nice at first, then they turn out to be the biggest jerks.",sad
22551,You do attract some stinkers.,sad
22552,Chandler.,neu
22553,"Mrs. Tedlock. You're looking lovely today. And may I say, that is a",neu
22554,"Yes. Well, Mr. Kostelick wants you to stop by his office at the end of the day.",neu
22555,"Oh, listen.",neu
22556,"If this is about those prank memos, I had nothing to do with them.",neu
22557,Really.,hap
22558,Nothing at all.,neu
22559,Really.,hap
22560,Nothing.,neu
22561,"Y'know when we move in together, can I get a gumball machine?",neu
22562,Of course! Joey wouldn't let you have one?,sad
22563,"No. When it comes to sweets, he's surprisingly strict.",sad
22564,"Hey, have you figured out a way to tell him you're moving out?",neu
22565,"No, no, I keep trying, y'know?",ang
22566,"I can get out, ""Joey, I have too"" but then I lose my nerve and I always finish with, ""go to the bathroom.""",sad
22567,He may think I'm sick.,neu
22568,"Y'know, I really have to tell Rachel, but I We just have to get it over with!",neu
22569,"Y'know, the next time we see them we're just gonna tell them.",neu
22570,That's it.,neu
22571,"Oh, so that's this is gonna work now? You're just gonna order me around all the time?",hap
22572,Pretty much.,neu
22573,All right.,neu
22574,Hey Monica!,hap
22575,Hi!,hap
22576,"Hey man, you feeling any better?",neu
22577,"Joey, we have something to tell you.",neu
22578,Oh my God! You're pregnant!,sur
22579,"Yeah, if you get married in Vegas, you're only married in Vegas.",neu
22580,What are you talking about? If you get married in Vegas you're married everywhere.,neu
22581,Really?!,sur
22582,Yeah!,neu
